title,subtitle,isbn13,price,image,url
Expert Oracle Practices,Oracle Database Administration from the Oak Table,9781430226680,19.01,https://itbook.store/img/books/9781430226680.png,https://itbook.store/books/9781430226680
Pro ODP.NET for Oracle Database 11g,,9781430228202,49.99,https://itbook.store/img/books/9781430228202.png,https://itbook.store/books/9781430228202
"Pro Oracle Database 11g RAC on Linux, 2nd Edition","Installation, Administration, Performance",9781430229582,29.95,https://itbook.store/img/books/9781430229582.png,https://itbook.store/books/9781430229582
The Definitive Guide to MongoDB,The NoSQL Database for Cloud and Desktop Computing,9781430230519,39.99,https://itbook.store/img/books/9781430230519.png,https://itbook.store/books/9781430230519
Oracle Database 11g Performance Tuning Recipes,A Problem-Solution Approach,9781430236627,50.66,https://itbook.store/img/books/9781430236627.png,https://itbook.store/books/9781430236627
Pro SQL Server 2012 Relational Database Design and Implementation,,9781430236955,31.12,https://itbook.store/img/books/9781430236955.png,https://itbook.store/books/9781430236955
Expert Oracle and Java Security,Programming Secure Oracle Database Applications With Java,9781430238317,46.78,https://itbook.store/img/books/9781430238317.png,https://itbook.store/books/9781430238317
"Beginning Database Design, 2nd Edition",From Novice to Professional,9781430242093,21.26,https://itbook.store/img/books/9781430242093.png,https://itbook.store/books/9781430242093
"Beginning C# 5.0 Databases, 2nd Edition",,9781430242604,49.99,https://itbook.store/img/books/9781430242604.png,https://itbook.store/books/9781430242604
"Beginning ASP.NET 4.5 Databases, 3rd Edition",,9781430243809,44.99,https://itbook.store/img/books/9781430243809.png,https://itbook.store/books/9781430243809
